"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,242,"GBR","United Kingdom",1,"England",1,"Barking and Dagenham","London Borough","London Borough",NA,NA
2,242,"GBR","United Kingdom",1,"England",2,"Bath and North East Somerset","Unitary Authority","Unitary Authority",NA,NA
3,242,"GBR","United Kingdom",1,"England",3,"Bedfordshire","Administrative County","Administrative County",NA,NA
4,242,"GBR","United Kingdom",1,"England",4,"Berkshire","County","County",NA,NA
5,242,"GBR","United Kingdom",1,"England",5,"Bexley","London Borough","London Borough",NA,NA
6,242,"GBR","United Kingdom",1,"England",6,"Blackburn with Darwen","Unitary Authority","Unitary Authority",NA,"Blackburn, Blackburn and Darwen"
7,242,"GBR","United Kingdom",1,"England",7,"Bournemouth","Unitary Authority","Unitary Authority",NA,NA
8,242,"GBR","United Kingdom",1,"England",8,"Brent","London Borough","London Borough",NA,NA
9,242,"GBR","United Kingdom",1,"England",9,"Brighton and Hove","Unitary Authority","Unitary Authority",NA,NA
10,242,"GBR","United Kingdom",1,"England",10,"Bristol","Unitary Authority (city)","Unitary Authority (city)",NA,NA
11,242,"GBR","United Kingdom",1,"England",11,"Bromley","London Borough","London Borough",NA,NA
12,242,"GBR","United Kingdom",1,"England",12,"Buckinghamshire","Administrative County","Administrative County",NA,NA
13,242,"GBR","United Kingdom",1,"England",13,"Cambridgeshire","Administrative County","Administrative County",NA,NA
14,242,"GBR","United Kingdom",1,"England",14,"Camden","London Borough","London Borough",NA,NA
15,242,"GBR","United Kingdom",1,"England",15,"Cheshire","Administrative County","Administrative County",NA,NA
16,242,"GBR","United Kingdom",1,"England",16,"Cornwall","Administrative County","Administrative County",NA,"Cornouailles|Cornovaglia|Cornualha|Cornualles|Cornwall and Isles of Scilly"
17,242,"GBR","United Kingdom",1,"England",17,"Croydon","London Borough","London Borough",NA,NA
